FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2003,2004,2005,2008,2010,2012,2014,2016,2018,2020,2022,2024
A,Annual,BIH,Bosnia and Herzegovina,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.05899,0.08688,0.0926,0.18873,0.25047,0.39168,0.3998,0.40471,0.4385,0.6295,0.6382,0.77628
A,Annual,BLR,Belarus,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.14725,0.13429,0.15707,0.2823,0.20807,0.50325,0.60691,0.63037,0.6881,0.8281,0.8426,0.91561
A,Annual,BLZ,Belize,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.15314,0.14865,0.14072,0.15613,0.14002,0.16274,0.15295,0.18339,0.2247,0.4079,0.3882,0.52917
A,Annual,BOL,Bolivia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.05456,0.0542,0.05678,0.07246,0.09148,0.17862,0.23242,0.25322,0.3148,0.5184,0.5818,0.7089
A,Annual,BRA,Brazil,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.17378,0.16533,0.16435,0.21812,0.2538,0.35676,0.46681,0.5025,0.522,0.6522,0.6814,0.80685
A,Annual,BRB,Barbados,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.20623,0.21189,0.3107,0.44639,0.5513,0.67395,0.67295,0.63967,0.6719,0.7523,0.7318,0.7624
A,Annual,BRN,Brunei Darussalam,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.24993,0.23329,0.22644,0.26525,0.27032,0.45503,0.36898,0.35119,0.6066,0.8209,0.8372,0.9868
A,Annual,BTN,Bhutan,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.01549,0.01442,0.01753,0.02441,0.06193,0.1143,0.17546,0.21919,0.308,0.5367,0.5261,0.81695
A,Annual,BWA,Botswana,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.06723,0.0647,0.06403,0.10816,0.10809,0.18733,0.29694,0.42153,0.3982,0.5591,0.6814,0.86495
A,Annual,CAF,Central African Republic,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00239,0.00242,0.0028,0.00454,0.00452,0.02973,0.02799,0.03813,0.0322,0.038,0.0833,0.0
A,Annual,CAN,Canada,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.67514,0.66803,0.65523,0.69657,0.6799,0.71631,0.71676,0.67173,0.6724,0.7818,0.777,0.80782
A,Annual,CHE,Switzerland,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.68242,0.72081,0.71053,0.79002,0.76872,0.87823,0.81992,0.79799,0.8428,0.9482,0.945,0.95757
A,Annual,CHL,Chile,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.27492,0.27641,0.27726,0.26821,0.27109,0.40014,0.49396,0.49705,0.5377,0.7606,0.7999,0.94553
A,Annual,CHN,China,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.11599,0.11132,0.12411,0.15999,0.19125,0.30385,0.3554,0.36727,0.4735,0.7388,0.805,0.89954
A,Annual,CIV,Cote d'Ivoire,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.02149,0.02014,0.02228,0.03909,0.06224,0.10188,0.13917,0.17107,0.2748,0.5034,0.5186,0.66926
A,Annual,CMR,Cameroon,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.01162,0.01236,0.01386,0.0635,0.0411,0.06488,0.09579,0.13096,0.179,0.2299,0.365,0.37004
A,Annual,COD,"Congo, Dem. Rep.",UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00063,0.00153,0.00212,0.00996,0.01399,0.01831,0.03369,0.07884,0.0645,0.1144,0.1477,0.15906
A,Annual,COG,"Congo, Rep.",UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.01075,0.01052,0.01185,0.02128,0.05902,0.12753,0.14526,0.17132,0.1889,0.2361,0.217,0.27758
A,Annual,COL,Colombia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.11774,0.10943,0.11096,0.17007,0.2421,0.28944,0.32971,0.38126,0.4412,0.6122,0.6498,0.80654
A,Annual,COM,Comoros,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00693,0.00692,0.00823,0.01368,0.02036,0.04361,0.06037,0.10732,0.0871,0.2511,0.33,0.35368
A,Annual,CPV,Cabo Verde,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.08575,0.08113,0.08084,0.09727,0.16458,0.22678,0.29658,0.36289,0.3926,0.5476,0.5507,0.61278
A,Annual,CRI,Costa Rica,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.19753,0.22275,0.25962,0.22827,0.24237,0.31345,0.44607,0.51294,0.6343,0.7475,0.7572,0.89327
A,Annual,CUB,Cuba,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.05148,0.05071,0.04986,0.03122,0.06228,0.07091,0.09687,0.11033,0.1455,0.2514,0.3663,0.53183
