,Country,Year,Index
0,Brazil,2003,0.856
1,Brazil,2004,0.856
2,Brazil,2005,0.873
3,Brazil,2008,0.869
4,Brazil,2010,0.872
5,Brazil,2012,0.872
6,Brazil,2014,0.877
7,Brazil,2016,0.782
8,Brazil,2018,0.753
9,Brazil,2020,0.699
10,Brazil,2022,0.699
11,Brazil,2024,0.801
